,year,length,CORNO,miles
1,2012,34091.244753207124,1.0,21.183317389064058
2,2012,4515.298777006262,2.0,2.805676583304523
3,2012,839.5308302650778,3.0,0.5216602727225611
4,2012,34820.964140544296,4.0,21.636743994599264
5,2012,38379.37881407318,5.0,23.8478403619202
6,2012,35080.77202316568,6.0,21.79818112831471
7,2012,84254.16107016541,7.0,52.35310849512868
8,2012,11542.392641138287,8.0,7.172110273956126
9,2012,14347.09012643566,9.0,8.914868493594756
10,2012,30600.346623083617,10.0,19.014173856798642
11,2012,88009.20894775912,11.0,54.68638707084615
12,2012,38914.91306477519,12.0,24.18060591763573
0,2013,2364426.188245741,0.0,1469.1863189862727
1,2013,34091.244753207124,1.0,21.183317389064058
2,2013,4515.298777006262,2.0,2.805676583304523
3,2013,839.5308302650778,3.0,0.5216602727225611
4,2013,34820.964140544296,4.0,21.636743994599264
5,2013,38379.37881407318,5.0,23.8478403619202
6,2013,35080.77202316568,6.0,21.79818112831471
7,2013,84254.16107016541,7.0,52.35310849512868
8,2013,11542.392641138287,8.0,7.172110273956126
9,2013,14347.09012643566,9.0,8.914868493594756
10,2013,30600.346623083617,10.0,19.014173856798642
11,2013,88009.20894775912,11.0,54.68638707084615
12,2013,38914.91306477519,12.0,24.18060591763573
0,2014,2363713.2934278036,0.0,1468.74334668348
1,2014,34091.244753207124,1.0,21.183317389064058
2,2014,4515.298777006262,2.0,2.805676583304523
3,2014,839.5308302650778,3.0,0.5216602727225611
4,2014,34820.964140544296,4.0,21.636743994599264
5,2014,38379.37881407318,5.0,23.8478403619202
6,2014,35080.77202316568,6.0,21.79818112831471
7,2014,84254.16107016541,7.0,52.35310849512868
8,2014,11542.392641138287,8.0,7.172110273956126
9,2014,14347.09012643566,9.0,8.914868493594756
10,2014,30600.346623083617,10.0,19.014173856798642
11,2014,88009.20894775912,11.0,54.68638707084615
12,2014,38914.91306477519,12.0,24.18060591763573
0,2015,2363589.7608468602,0.0,1468.6665870964084
1,2015,34091.244753207124,1.0,21.183317389064058
2,2015,4515.298777006262,2.0,2.805676583304523
3,2015,793.7354349538671,3.0,0.49320433334992286
4,2015,34820.964140544296,4.0,21.636743994599264
5,2015,38379.37881407318,5.0,23.8478403619202
6,2015,35080.77202316568,6.0,21.79818112831471
7,2015,84254.16107016541,7.0,52.35310849512868
8,2015,11542.392641138287,8.0,7.172110273956126
9,2015,14347.09012643566,9.0,8.914868493594756
10,2015,30600.346623083617,10.0,19.014173856798642
11,2015,88009.20894775912,11.0,54.68638707084615
12,2015,38914.91306477519,12.0,24.18060591763573
0,2016,2363589.7608468602,0.0,1468.6665870964084
1,2016,34091.244753207124,1.0,21.183317389064058
2,2016,4515.298777006262,2.0,2.805676583304523
3,2016,793.7354349538671,3.0,0.49320433334992286
4,2016,34820.964140544296,4.0,21.636743994599264
5,2016,38379.37881407318,5.0,23.8478403619202
6,2016,35080.77202316568,6.0,21.79818112831471
7,2016,84254.16107016541,7.0,52.35310849512868
8,2016,11542.392641138287,8.0,7.172110273956126
9,2016,14347.09012643566,9.0,8.914868493594756
10,2016,30600.346623083617,10.0,19.014173856798642
11,2016,88009.20894775912,11.0,54.68638707084615
12,2016,38914.91306477519,12.0,24.18060591763573
0,2017,2363589.7608468602,0.0,1468.6665870964084
1,2017,34091.244753207124,1.0,21.183317389064058
2,2017,4515.298777006262,2.0,2.805676583304523
